Customer ID,Similar_customer_1,Score_1,Similar_customer_2,Score_2,Similar_customer_3,Score_3
C0001,C0149,0.9994203923058097,C0200,0.9959768396251725,C0170,0.9928886578797155
C0002,C0142,0.9984508075455883,C0052,0.9883198476048365,C0199,0.9853854288758715
C0003,C0025,0.9993980090168489,C0029,0.9992988841431526,C0094,0.9956894839892527
C0004,C0047,0.9976083388716306,C0084,0.9974863800920036,C0108,0.9954151981812279
C0005,C0061,0.9999992032398348,C0009,0.9998155119454765,C0080,0.9992208441777279
C0006,C0146,0.9984593026777514,C0044,0.987626817451649,C0026,0.9825287559992474
C0007,C0186,0.9956699901198671,C0078,0.9943665429513823,C0131,0.9941142468831031
C0008,C0147,0.9951323643890977,C0175,0.9923510755549366,C0105,0.9914355895185238
C0009,C0061,0.9998389623209838,C0005,0.9998155119454765,C0131,0.9992335807972386
C0010,C0142,0.9931160884307428,C0002,0.9850600257138441,C0077,0.9747425384582313
C0011,C0064,0.998829525433925,C0183,0.9917142135682862,C0107,0.9694563201473213
C0012,C0101,0.9990065641632219,C0124,0.9986978905280012,C0108,0.996655608399065
C0013,C0099,0.9974623294065722,C0155,0.99640973648956,C0087,0.9947040561504346
C0014,C0097,0.9999653768014848,C0110,0.9995538862801666,C0033,0.9993923770660745
C0015,C0140,0.9962499629155168,C0123,0.9957234623739019,C0198,0.9899860329370559
C0016,C0187,0.9999995410985845,C0096,0.9995273743134087,C0138,0.9929059795549899
C0017,C0113,0.9995607715804135,C0161,0.9970144534856019,C0075,0.9902465210798265
C0018,C0111,0.9989491341189394,C0106,0.9609805993178303,C0088,0.9347843854299738
C0019,C0153,0.9661423522167821,C0136,0.93603987350603,C0163,0.9119003805557503
C0020,C0130,0.9999960596951131,C0150,0.9999745539133251,C0080,0.9999300114274766
